"rating","price_usd","dominant_label","norm_sentiment","skin_type","token_count","mentions_social_media"
4,9.5,"Texture, Fragrance & Makeup",0.25,"combination",12,FALSE
5,60,"Problematic Skin (Acne/Sensitivity)",0.3125,"combination",32,FALSE
5,80,"Problematic Skin (Acne/Sensitivity)",0,"normal",33,FALSE
5,38,"Purchase Experience & Satisfaction",0.0769230769230769,"normal",26,FALSE
5,45,"Problematic Skin (Acne/Sensitivity)",0.368421052631579,"combination",19,FALSE
4,78,"Texture, Fragrance & Makeup",0.1875,"normal",16,FALSE
5,21,"Moisterization",0,"combination",30,FALSE
2,98,"Purchase Experience & Satisfaction",0.545454545454545,"combination",11,FALSE
5,90,"Texture, Fragrance & Makeup",0.0909090909090909,"normal",44,FALSE
1,18,"Moisterization",0,"combination",36,FALSE
5,57,"Purchase Experience & Satisfaction",0.291666666666667,"combination",24,FALSE
4,17,"Purchase Experience & Satisfaction",0.411764705882353,"combination",17,FALSE
1,11.99,"Texture, Fragrance & Makeup",0.166666666666667,"oily",12,FALSE
2,58,"Moisterization",0.0714285714285714,"combination",14,FALSE
5,6,"Moisterization",-0.0357142857142857,"oily",84,FALSE
5,39,"Texture, Fragrance & Makeup",0.358974358974359,"combination",39,FALSE
5,54,"Purchase Experience & Satisfaction",0.166666666666667,"combination",30,FALSE
5,65,"Texture, Fragrance & Makeup",0.0810810810810811,"combination",37,FALSE
4,13,"Purchase Experience & Satisfaction",0.192307692307692,"oily",26,FALSE
4,78,"Moisterization",0.4375,"combination",16,FALSE
3,8.9,"Texture, Fragrance & Makeup",0.2,"combination",15,FALSE
5,38,"Moisterization",0.3,"combination",20,FALSE
3,36,"Problematic Skin (Acne/Sensitivity)",0.375,"combination",32,FALSE
5,48,"Problematic Skin (Acne/Sensitivity)",0.161290322580645,"normal",31,FALSE
5,82,"Problematic Skin (Acne/Sensitivity)",0.131578947368421,"normal",38,FALSE
5,115,"Problematic Skin (Acne/Sensitivity)",-0.125,"oily",24,FALSE
5,28,"Purchase Experience & Satisfaction",0.155172413793103,"oily",58,FALSE
5,50,"Moisterization",0.166666666666667,"combination",24,FALSE
5,7,"Moisterization",0.5,"combination",10,FALSE
5,15,"Moisterization",0.666666666666667,"combination",30,FALSE
5,52,"Moisterization",0.483870967741935,"combination",31,FALSE
2,38,"Problematic Skin (Acne/Sensitivity)",0.382352941176471,"combination",34,FALSE
5,14,"Texture, Fragrance & Makeup",0.0222222222222222,"dry",45,FALSE
5,24,"Moisterization",0,"dry",14,FALSE
5,48,"Moisterization",0.238095238095238,"oily",42,FALSE
5,18,"Problematic Skin (Acne/Sensitivity)",0,"dry",86,FALSE
